"LGA","Density","Installations","Capacity","IRSAD","Median Age - Persons (years)","Population density (persons/km2)","Total born overseas (%)","Bachelor Degree (%)","Completed Year 12 or equivalent (%)"
"Victoria Plains (S)",20.1,104,904,993,45.1,0.4,15.4,9,39.7
"Vincent (C)",18.2,1992,9527,1098,34.4,3135.7,34.5,28.4,68.6
"Wagga Wagga (C)",17.5,4592,26373,978,34.8,13.2,9.3,12.2,43.7
"Wagin (S)",28,268,1040,929,47.4,1,13.7,5.7,33.7
"Wakefield (DC)",39.3,1306,8630,915,43.2,2,10.3,6.5,32.5
"Walcha (A)",17.7,300,1571,970,47.1,0.5,4.9,8.4,34.1
"Walgett (A)",30.1,1078,4440,856,41.4,0.3,9,6.9,29.1
"Walkerville (M)",29,979,4965,1093,43.5,2204.2,27.5,25.6,65.7
"Wandering (S)",27.4,62,264,1004,45.7,0.2,11.7,5.9,39.8
"Wangaratta (RC)",26,3721,16861,962,44.5,7.8,8,10.1,37.1
"Wanneroo (C)",36.2,29101,114945,1010,33,285.1,40.9,11.2,52
"Waroona (S)",32.4,669,2835,930,44.5,5,16.2,4.9,29.7
"Warren (A)",39.3,544,2699,945,41.6,0.3,4.4,8.9,36.2
"Warrnambool (C)",11.7,1898,9417,961,39.7,283.1,8.1,11.4,41
"Warrumbungle Shire (A)",38.3,1857,7247,912,47.6,0.8,5.9,7.2,29.6
"Wattle Range (DC)",27.6,1732,9020,918,45.3,3.1,8.3,6.1,31.7
"Waverley (A)",9.5,1103,5217,1140,35.3,7701.3,38.5,31.1,73.1
"Weddin (A)",20,408,2146,948,50.1,1.1,5.6,7.6,30.4
"Weipa (T)",0.3,7,65,1047,31.6,373.3,10.1,10.2,47.8
"Wellington (S)",22.5,5309,25258,954,42.9,4,10.6,8.3,33.5
"Wentworth (A)",20.9,779,11312,943,43.7,0.3,5.3,7.1,28.8
"West Arthur (S)",21.3,100,380,988,46.1,0.3,9.8,7.7,39.9
"West Torrens (C)",26.2,6701,34079,998,37.3,1603.9,30.6,17.9,57.7
"West Wimmera (S)",20.5,463,1903,977,47.7,0.4,5.9,7.9,32.6
"Western Downs (R)",23.7,4020,179224,942,37,0.9,7.1,7.5,36.1
"Westonia (S)",37.7,51,191,1006,39,0.1,18.1,10.4,37.5
"Whitehorse (C)",12.2,7814,28552,1063,37.8,2639.1,38.4,23.5,67
"Whitsunday (R)",29.2,4639,460624,945,38.1,1.5,15.3,7.3,37.9
"Whittlesea (C)",16.5,13190,57002,982,33.8,422.8,35.5,12.6,54.1
"Whyalla (C)",31.5,3621,21627,874,39.6,21,18.4,6.8,34.1
"Wickepin (S)",20.7,85,302,983,45.9,0.4,8.8,6.8,39.4
"Williams (S)",18.1,94,513,1019,42.2,0.4,9.2,9.5,48.2
"Willoughby (C)",11.7,1945,8861,1136,36.9,3473.1,45.4,31.1,77.1
"Wiluna (S)",2.1,11,243,770,35,0,22,8.6,33
"Wingecarribee (A)",19.6,4604,21816,1022,46.3,18.2,15.8,13.6,46.1
"Winton (S)",10.7,99,624,941,45.5,0,4.7,7.1,34.9
"Wodonga (C)",21.1,3926,18445,957,35.6,92.7,10,9.2,39.9
"Wollondilly (A)",23,4514,21973,1030,36.7,19.5,11.8,8.9,38.7
"Wollongong (C)",16.6,11916,50725,990,38.3,307.6,21.5,13.2,46.3
"Wongan-Ballidu (S)",16.5,144,854,962,40.6,0.4,12.9,7.2,41.4
"Woodanilling (S)",29,61,216,1005,40.8,0.4,12.2,12.3,48.4
"Woollahra (A)",6.1,713,3892,1165,38.8,4703.2,32.4,33.1,76.2
"Woorabinda (S)",3.4,11,49,636,23.1,2.6,1.5,3,19.5
"Wudinna (DC)",28.4,223,1505,982,40.9,0.3,4.2,7.9,34.2
"Wujal Wujal (S)",14,22,144,694,28.7,24.7,1.4,4.6,26.3
"Wyalkatchem (S)",24,75,247,906,51.9,0.3,10.1,6.2,35.1
"Wyndham (C)",23,19508,89986,1002,32.1,418.8,41.5,15.5,58.2
"Yankalilla (DC)",40.2,1647,6957,950,53.5,7,17.7,8.7,37.9
"Yarra (C)",9,2215,10909,1081,33.4,4753.4,28.9,31.2,73.6
"Yarra Ranges (S)",18,11365,50728,1017,39.3,62.9,16.3,12,47.1
"Yarrabah (S)",19,276,1726,651,22.9,17,0.1,2.3,26.7
"Yarriambiack (S)",25.6,899,3814,932,49.9,0.9,5.9,6.4,28.4
"Yass Valley (A)",25.9,1925,10652,1062,41.4,4.1,10.3,15.2,52.4
"Yorke Peninsula (DC)",35.4,3646,13544,931,54.7,1.9,9.3,5.8,29.5
